 id,EDAD,¿Te intereasa la politica?  -Mucho -Poco -Nada,¿Por qué te interesa o no te interesa la politica? -Me aburre -No entiendo como funciona -Me preocupa el futuro - Me gusta debatir y estar informado,¿Qué temas te interesan de la política? -Educación -Economía -Inclusión -Tecnología -Otros,¿Cómo te mantienes informado de politica? -Redes sociales -Noticias -TV -Familia/amigos,¿Participas en política? -Si -No,¿Te involucrarías en política? -Si -No -No estoy seguro,¿Consideras que los jovenes deben involucrarse en política? -Si -No,¿Crees que la participàcion de los jovenes pueden generar cambios positivos? -Si -No -En algunos aspectos,¿Consideras que es necesario educar sobre politica en las escuelas? -Si -No
1,17,Mucho,Me gusta debatir y estar informado,Economia,Redes sociales,No,SI,Si,En algunos aspectos,Si
2,17,Mucho,Me gusta debatir y estar informado,Economia,redes sociales,No,SI,No,En algunos aspectos,No
3,17,Mucho,Me gusta debatir y estar informado,Economia,Redes sociales,No,No estoy seguro,Si,Si,Si
4,17,Poco,Me aburrre,Economia,Redes sociales,No,No estoy seguro,Si,Si,Si
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,17,Poco,Me gusta debatir y estar informado,Educación,Redes Sociales,No,No estoy seguro,Si,Si,
